Loading dataset: roli
  0%|          | 0/184 [00:00<?, ?it/s] 11%|█▏        | 21/184 [00:00<00:00, 200.71it/s] 23%|██▎       | 42/184 [00:00<00:01, 103.96it/s] 34%|███▍      | 63/184 [00:00<00:00, 134.28it/s] 44%|████▍     | 81/184 [00:00<00:00, 130.95it/s] 55%|█████▌    | 102/184 [00:00<00:00, 151.91it/s] 65%|██████▍   | 119/184 [00:00<00:00, 134.47it/s] 76%|███████▌  | 139/184 [00:01<00:00, 132.08it/s] 88%|████████▊ | 161/184 [00:01<00:00, 151.52it/s] 99%|█████████▉| 183/184 [00:01<00:00, 167.17it/s]100%|██████████| 184/184 [00:01<00:00, 146.98it/s]
  0%|          | 0/50 [00:00<?, ?it/s] 24%|██▍       | 12/50 [00:00<00:00, 77.13it/s] 40%|████      | 20/50 [00:00<00:00, 72.72it/s] 82%|████████▏ | 41/50 [00:00<00:00, 123.44it/s]100%|██████████| 50/50 [00:00<00:00, 118.38it/s]
Start training.
Epoch 0 | Loss 5.1235
Save model after epoch 0 as ckpt_0.pt.
Epoch 1 | Loss 5.1401
Epoch 2 | Loss 5.1986
Epoch 3 | Loss 5.2628
Epoch 4 | Loss 5.3554
Epoch 5 | Loss 5.5264
Epoch 6 | Loss 5.7144
Epoch 7 | Loss 5.9062
Epoch 8 | Loss 6.1091
Epoch 9 | Loss 6.2842
Epoch 10 | Loss 6.4474
Epoch 11 | Loss 6.5884
Epoch 12 | Loss 6.6853
Epoch 13 | Loss 6.7627
Epoch 14 | Loss 6.8561
Epoch 15 | Loss 6.9224
Epoch 16 | Loss 6.9400
Epoch 17 | Loss 6.9837
Epoch 18 | Loss 7.0095
Epoch 19 | Loss 7.0340
Epoch 20 | Loss 7.0420
Epoch 21 | Loss 7.0761
Epoch 22 | Loss 7.0831
Epoch 23 | Loss 7.0979
Epoch 24 | Loss 7.0880
Epoch 25 | Loss 7.1126
Epoch 26 | Loss 7.1152
Epoch 27 | Loss 7.0994
Epoch 28 | Loss 7.1078
Epoch 29 | Loss 7.1211
Epoch 30 | Loss 7.1374
Epoch 31 | Loss 7.1061
Epoch 32 | Loss 7.0962
Epoch 33 | Loss 7.1203
Epoch 34 | Loss 7.1223
Epoch 35 | Loss 7.1205
Epoch 36 | Loss 7.1254
Epoch 37 | Loss 7.1232
Epoch 38 | Loss 7.1285
Epoch 39 | Loss 7.1225
Epoch 40 | Loss 7.1167
Epoch 41 | Loss 7.1144
Epoch 42 | Loss 7.1162
Epoch 43 | Loss 7.1157
Epoch 44 | Loss 7.1007
Epoch 45 | Loss 7.1203
Epoch 46 | Loss 7.1186
Epoch 47 | Loss 7.1144
Epoch 48 | Loss 7.1097
Epoch 49 | Loss 7.1195
Epoch 50 | Loss 7.1016
Epoch 51 | Loss 7.0826
Epoch 52 | Loss 7.1074
Epoch 53 | Loss 7.0647
Epoch 54 | Loss 7.0974
Epoch 55 | Loss 7.0984
Epoch 56 | Loss 7.0894
Epoch 57 | Loss 7.1064
Epoch 58 | Loss 7.0886
Epoch 59 | Loss 7.1106
Epoch 60 | Loss 7.0971
Epoch 61 | Loss 7.1012
Epoch 62 | Loss 7.0877
Epoch 63 | Loss 7.1006
Epoch 64 | Loss 7.0907
Epoch 65 | Loss 7.0801
Epoch 66 | Loss 7.0763
Epoch 67 | Loss 7.0776
Epoch 68 | Loss 7.0895
Epoch 69 | Loss 7.0770
Epoch 70 | Loss 7.0963
Epoch 71 | Loss 7.0719
Epoch 72 | Loss 7.0785
Epoch 73 | Loss 7.0837
Epoch 74 | Loss 7.0706
Epoch 75 | Loss 7.0613
Epoch 76 | Loss 7.0624
Epoch 77 | Loss 7.0588
Epoch 78 | Loss 7.0772
Epoch 79 | Loss 7.0616
Epoch 80 | Loss 7.0477
Epoch 81 | Loss 7.0812
Epoch 82 | Loss 7.0602
Epoch 83 | Loss 7.0559
Epoch 84 | Loss 7.0487
Epoch 85 | Loss 7.0399
Epoch 86 | Loss 7.0637
Epoch 87 | Loss 7.0331
Epoch 88 | Loss 7.0268
Epoch 89 | Loss 7.0337
Epoch 90 | Loss 7.0478
Epoch 91 | Loss 7.0407
Epoch 92 | Loss 7.0180
Epoch 93 | Loss 7.0467
Epoch 94 | Loss 7.0267
Epoch 95 | Loss 7.0133
Epoch 96 | Loss 6.9975
Epoch 97 | Loss 7.0074
Epoch 98 | Loss 7.0436
Epoch 99 | Loss 7.0026
Epoch 100 | Loss 7.0061
Epoch 101 | Loss 7.0018
Epoch 102 | Loss 7.0055
Epoch 103 | Loss 7.0107
Epoch 104 | Loss 6.9956
