Loading dataset: roli
  0%|          | 0/416 [00:00<?, ?it/s]  3%|▎         | 12/416 [00:00<00:03, 115.65it/s]  6%|▋         | 27/416 [00:00<00:02, 135.13it/s] 10%|█         | 42/416 [00:00<00:02, 138.90it/s] 13%|█▎        | 56/416 [00:00<00:03, 95.08it/s]  18%|█▊        | 73/416 [00:00<00:04, 82.50it/s] 22%|██▏       | 90/416 [00:00<00:03, 100.21it/s] 26%|██▌       | 108/416 [00:00<00:02, 118.12it/s] 29%|██▉       | 122/416 [00:01<00:02, 98.06it/s]  33%|███▎      | 139/416 [00:01<00:02, 112.78it/s] 38%|███▊      | 157/416 [00:01<00:02, 127.56it/s] 41%|████▏     | 172/416 [00:01<00:02, 95.06it/s]  44%|████▍     | 184/416 [00:01<00:02, 86.11it/s] 48%|████▊     | 201/416 [00:01<00:02, 101.94it/s] 53%|█████▎    | 219/416 [00:02<00:01, 117.62it/s] 56%|█████▌    | 233/416 [00:02<00:01, 117.81it/s] 59%|█████▉    | 246/416 [00:02<00:01, 119.82it/s] 62%|██████▏   | 259/416 [00:02<00:01, 91.82it/s]  66%|██████▋   | 276/416 [00:02<00:01, 107.47it/s] 69%|██████▉   | 289/416 [00:02<00:01, 80.01it/s]  74%|███████▎  | 306/416 [00:02<00:01, 96.81it/s] 77%|███████▋  | 319/416 [00:03<00:01, 87.94it/s] 80%|████████  | 334/416 [00:03<00:00, 100.31it/s] 84%|████████▍ | 349/416 [00:03<00:00, 109.82it/s] 88%|████████▊ | 364/416 [00:03<00:00, 117.50it/s] 91%|█████████ | 377/416 [00:03<00:00, 120.64it/s] 94%|█████████▍| 390/416 [00:03<00:00, 96.32it/s]  97%|█████████▋| 404/416 [00:03<00:00, 105.31it/s]100%|██████████| 416/416 [00:03<00:00, 104.37it/s]
  0%|          | 0/50 [00:00<?, ?it/s] 28%|██▊       | 14/50 [00:00<00:00, 134.74it/s] 62%|██████▏   | 31/50 [00:00<00:00, 150.94it/s] 94%|█████████▍| 47/50 [00:00<00:00, 68.86it/s] 100%|██████████| 50/50 [00:00<00:00, 82.34it/s]
Start training.
Epoch 0 | Loss 5.4064
Save model after epoch 0 as ckpt_0.pt.
Epoch 1 | Loss 5.7337
Epoch 2 | Loss 6.0480
Epoch 3 | Loss 6.4163
Epoch 4 | Loss 6.6750
Epoch 5 | Loss 6.8255
Epoch 6 | Loss 6.9249
Epoch 7 | Loss 6.9971
Epoch 8 | Loss 6.9958
Epoch 9 | Loss 7.0302
Epoch 10 | Loss 7.0376
Epoch 11 | Loss 7.0463
Epoch 12 | Loss 7.0199
Epoch 13 | Loss 7.0448
Epoch 14 | Loss 7.0181
Epoch 15 | Loss 7.0167
Epoch 16 | Loss 7.0092
Epoch 17 | Loss 6.9973
Epoch 18 | Loss 6.9922
Epoch 19 | Loss 6.9734
Epoch 20 | Loss 6.9803
Epoch 21 | Loss 6.9775
Epoch 22 | Loss 6.9503
Epoch 23 | Loss 6.9644
Epoch 24 | Loss 6.9561
Epoch 25 | Loss 6.9545
Epoch 26 | Loss 6.9359
Epoch 27 | Loss 6.9405
Epoch 28 | Loss 6.9111
Epoch 29 | Loss 6.9194
Epoch 30 | Loss 6.8990
Epoch 31 | Loss 6.8745
Epoch 32 | Loss 6.8709
Epoch 33 | Loss 6.8525
Epoch 34 | Loss 6.8443
Epoch 35 | Loss 6.8244
Epoch 36 | Loss 6.8045
Epoch 37 | Loss 6.8184
Epoch 38 | Loss 6.7895
Epoch 39 | Loss 6.7734
Epoch 40 | Loss 6.7765
Epoch 41 | Loss 6.7371
Epoch 42 | Loss 6.7404
Epoch 43 | Loss 6.7269
Epoch 44 | Loss 6.7068
Epoch 45 | Loss 6.6886
Epoch 46 | Loss 6.6820
Epoch 47 | Loss 6.6436
Epoch 48 | Loss 6.6508
Epoch 49 | Loss 6.6421
Epoch 50 | Loss 6.6048
Epoch 51 | Loss 6.6091
Epoch 52 | Loss 6.5963
Epoch 53 | Loss 6.5742
Epoch 54 | Loss 6.5642
Epoch 55 | Loss 6.5529
Epoch 56 | Loss 6.5393
Epoch 57 | Loss 6.5354
Epoch 58 | Loss 6.5095
Epoch 59 | Loss 6.5008
Epoch 60 | Loss 6.4803
Epoch 61 | Loss 6.4686
Epoch 62 | Loss 6.4709
